职位,期待薪资,工作标签,技能要求,工作经验,学历,城市,公司,公司规模,福利列表
后端高级开发工程师,30-50K·15薪,"['3-5年', '本科']","['Golang', 'MySQL', 'Redis', '架构设计经验', '不接受居家办公']",3-5年,本科,北京,今日头条,10000人以上,"['带薪年假', '餐饮及下午茶', '五险一金', '年度体检', '家属自选保险', '包吃', '弹性工作制', '定期体检', '法定节假日三薪', '股票期权', '就近租房补贴', '节日礼品', '交通补助', '家庭关爱假', '零食下午茶', '补充医疗保险', '意外险', '年终奖', '免费健身设施', '团建聚餐']"
初级java开发工程师,4-8K,"['经验不限', '学历不限']","['Java', 'Spring', 'SpringCloud', 'Spark', '架构设计经验', '物联网经验', '大数据经验']",经验不限,学历不限,宜昌,泽良,0-20人,[]
Java,6-11K,"['经验不限', '本科']","['Java', '大数据经验', 'Hive', '不接受居家办公', 'SpringCloud', 'Hadoop', 'Kafka', 'Redis', 'Spring']",经验不限,本科,北京,北京中网软创科技,0-20人,"['节日福利', '有无线网', '免费班车', '带薪年假', '五险一金', '年终奖']"
后端开发工程师（AI产品）,30-50K·15薪,"['3-5年', '本科']","['Golang', 'Docker', 'Kubernetes', 'MySQL', 'Golang服务端开发经验', '系统架构设计经验', 'C端', '娱乐', '社交', '工具']",3-5年,本科,北京,某小型互联网AIGC赛道公司,20-99人,"['交通补助', '零食下午茶', '股票期权', '商业保险', '住房补贴', '员工旅游', '餐补', '五险一金', '年终奖', '意外险', '节日福利', '绩效奖金', '补充医疗保险', '有无线网', '定期体检', '带薪年假', '团建聚餐', '包吃']"
代码标注/五险一金/双休/朝九晚六/带薪培训,5-6K,"['经验不限', '大专']","['Python', 'Java', 'C', 'Flask', 'MySQL']",经验不限,大专,重庆,博彦科技,10000人以上,"['五险一金', '定期体检', '年终奖', '带薪年假', '免费班车', '节日福利']"
Golang,12-15K,"['1-3年', '中专/中技']","['Golang', 'Java', 'web后端开发', 'MySQL', 'MongoDB', '计算机相关专业']",1-3年,中专/中技,深圳,深圳星河智安科技,0-20人,[]
软件开发工程师,18-35K·15薪,"['在校/应届', '硕士']","['嵌入式软件经验', '分布式经验']",在校/应届,硕士,成都,华为成都,10000人以上,"['交通补助', '带薪年假', '年终奖', '零食下午茶', '五险一金', '员工旅游', '夜班补助', '免费班车', '加班补助', '股票期权', '定期体检', '补充医疗保险', '节日福利', '绩效奖金']"
后台开发工程师（社保方向）,9-14K,"['3-5年', '本科']","['Java', '负责医保', 'SpringCloud', 'SQL Server', 'Spring']",3-5年,本科,成都,ABC数字医疗云,100-499人,"['交通补助', '补充医疗保险', '年终奖', '节日福利', '五险一金', '带薪年假', '定期体检', '员工旅游', '股票期权', '零食下午茶']"
C#,10-15K,"['1-3年', '本科']","['C#', 'C#开发经验', '.NET开发经验']",1-3年,本科,宁波,中环瑞蓝科技,100-499人,"['节日福利', '零食下午茶', '带薪年假', '包吃', '五险一金', '股票期权', '绩效奖金', '年终奖', '餐补']"
大模型开发工程师,35-65K·14薪,"['经验不限', '本科']","['Java', 'PHP', 'Golang', '后端开发经验', '大模型', 'LLM', '应用开发']",经验不限,本科,上海,某大型互联网,1000-9999人,"['年终奖', '团建聚餐', '包吃', '带薪年假', '零食下午茶', '定期体检', '住房补贴', '股票期权', '餐补', '五险一金', '加班补助', '生日福利']"
ERP中级软件工程师,8-12K,"['3-5年', '大专']",['ERP系统开发经验'],3-5年,大专,苏州,天哲云智工业互联网,0-20人,[]
C# 开发工程师,12-15K,"['1-3年', '大专']",[],1-3年,大专,广州,嘻码(上海),0-20人,[]
中级全栈工程师,20-25K·13薪,"['3-5年', '大专']","['Vue', 'React', 'MySQL/Redis/MongoDB', '前端开发经验', '英语读写能力良好', '全栈项目经验', '后端开发经验', '全栈开发能力', 'App 开发经验', 'WordPress 网站开发', 'Android/iOS原生开发']",3-5年,大专,深圳,某小型电子商务公司,20-99人,[]
C++开发专家（内核、渲染引擎方向）-广州,25-50K·16薪,"['1-3年', '本科']",['C++'],1-3年,本科,广州,阿里巴巴智能信息事业群,1000-9999人,"['五险一金', '节日福利', '定期体检', '年终奖', '餐补', '带薪年假', '补充医疗保险', '免费班车', '员工旅游', '交通补助', '股票期权', '零食下午茶']"
go研发工程师,20-40K·16薪,"['3-5年', '本科']","['Golang', 'Java', 'Golang服务端开发经验', '计算机相关专业', '中大型项目开发经验']",3-5年,本科,上海,上海从鲸信息技术,500-999人,[]
中级PHP开发工程师（跨境电商项目）,15-20K,"['3-5年', '本科']","['Laravel/Yii/ThinkPHP', 'PHP开发经验', 'PHP', '计算机相关专业']",3-5年,本科,深圳,HOWUSN,100-499人,"['零食下午茶', '加班补助', '绩效奖金', '有无线网', '底薪加提成', '节日福利', '全勤奖', '五险一金', '带薪年假', '团建聚餐']"
AI开发工程师,11-20K,"['1-3年', '本科']","['全栈无侧重', '计算机相关专业']",1-3年,本科,北京,猎豹移动,1000-9999人,"['五险一金', '带薪年假', '餐补', '交通补助', '节日福利']"
java软件开发,20-40K,"['5-10年', '本科']","['Java', 'Spring', 'SpringCloud', 'MyBatis', 'JVM', 'Nginx', 'MySQL', 'Redis', 'MongoDB', '微服务经验', '不接受居家办公']",5-10年,本科,深圳,某深圳大型计算机软件已融资公司,1000-9999人,"['餐补', '股票期权', '定期体检', '学习进修', '节日福利', '健身房', '五险一金', '团建聚餐', '零食下午茶', '海外工作', '带薪年假', '饭补', '年终奖']"
推荐系统研发工程师,40-70K,"['5-10年', '本科']","['Java', 'Elasticsearch', 'Redis', '搜索/推荐/广告经验', 'Solr', 'Lucen', 'TensorFlow Serving', 'Memcached', 'ClickHous']",5-10年,本科,北京,某大型社交网络公司,100-499人,['五险一金']
mpc钱包开发工程师,40-70K·15薪,"['3-5年', '本科']",[],3-5年,本科,深圳,北京蓝天一川网络科技,100-499人,"['加班补助', '法定节假日三薪', '免费工装', '五险一金', '底薪加提成']"
腾讯会议-后端研发工程师(深圳),30-60K·15薪,"['3-5年', '本科']","['Golang', 'Java', 'C++', 'Golang服务端开发经验', '中大型项目开发经验', '系统架构设计经验']",3-5年,本科,深圳,腾讯,10000人以上,"['零食下午茶', '免费健身房', '包吃', '免费早晚餐', '带薪年假', '餐补', '五险一金', '补充医疗保险', '定期体检', '公仔周边活动', '股票期权', '员工旅游', '年终奖', '交通补助', '免费班车', '节日福利', '住房补贴']"
搜索/推荐引擎开发工程师,80-110K·16薪,"['3-5年', '本科']","['C++', 'Java', 'Spring', 'SpringCloud', 'MySQL', 'Redis', '团队管理经验', '架构设计经验', '不接受居家办公']",3-5年,本科,北京,某大型互联网地图服务上市公司,1000-9999人,"['股票期权', '节日福利', '交通补助', '定期体检', '年终奖', '五险一金', '补充医疗保险', '带薪年假', '餐补', '免费班车', '员工旅游']"
高级技术经理,40-60K·14薪,"['10年以上', '本科']","['Java', 'Dubbo', '架构设计经验', '分布式经验', '高并发', 'DDD', '电商']",10年以上,本科,深圳,嘉立创,1000-9999人,"['绩效奖金', '节日福利', '带薪年假', '加班补助', '团建聚餐', '通讯补贴', '交通补助', '五险一金', '生日福利', '定期体检']"
全栈工程师（偏后端）,9-12K,"['经验不限', '本科']","['全栈侧重后端', 'Spring/Spring Boot', 'MySQL/Redis/MongoDB', 'k8s', 'java']",经验不限,本科,西安,烈冰生物,100-499人,"['五险一金', '住房补贴', '节假日加班费', '绩效奖金', '零食下午茶', '全勤奖', '节日福利', '团建聚餐', '带薪年假', '生日福利', '年终奖']"
Python,20-26K,"['5-10年', '本科']","['分布式经验', '微服务经验', 'MySQL', '运维开发经验', '架构设计经验', 'Python', 'Flask']",5-10年,本科,上海,某大型计算机软件上市公司,10000人以上,"['年终奖', '补充医疗保险', '节日福利', '生日福利', '员工旅游', '带薪年假', '五险一金', '团建聚餐']"
C++/Python软件开发工程师,20-40K,"['经验不限', '本科']",['C++'],经验不限,本科,杭州,华为,10000人以上,"['股票期权', '法定节假日三薪', '团建聚餐', '保底工资', '补充医疗保险', '节日福利', '企业年金', '年终奖', '零食下午茶', '五险一金', '员工旅游', '夜班补助', '带薪年假', '交通补助', '免费班车', '加班补助', '节假日加班费', '定期体检', '绩效奖金', '意外险']"
高级软件工程师,25-35K,"['5-10年', '本科']","['不接受居家办公', '架构设计经验']",5-10年,本科,深圳,深圳成谷,100-499人,"['五险一金', '年终奖', '股票期权', '带薪年假']"
pm,8-10K·13薪,"['经验不限', '本科']",['项目管理'],经验不限,本科,芜湖,艾拉比智能,100-499人,"['交通补助', '餐补', '团建聚餐', '带薪年假', '员工旅游', '定期体检', '五险一金', '零食下午茶', '年终奖', '节日福利', '加班补助']"
高级C++工程师,20-30K·17薪,"['5-10年', '本科']","['衍生品', 'C++', 'C', '合约', '金融交易', '期货', 'MySQL', 'Redis', '行情', '量化交易开发经验']",5-10年,本科,杭州,特睿德弗,100-499人,"['团建聚餐', '工龄奖', '餐补', '全勤奖', '带薪年假', '股票期权', '年终奖', '加班补助', '员工旅游', '绩效奖金', '零食下午茶', '定期体检', '五险一金']"
相机软件架构研发高级工程师,5-8K,"['5-10年', '本科']","['C++', '架构设计经验', 'AudioFlinger', 'SurfaceFlinger', '多媒体框架，显示框架', 'CameraHAL']",5-10年,本科,上海,小米,10000人以上,"['节日福利', '五险一金', '带薪年假', '补充医疗保险', '餐补', '12%公积金', '定期体检', '股票期权', '年终奖']"
数字化项目专家,15-30K,"['5-10年', '本科']","['数字化', '企业信息化', 'IT', '电商']",5-10年,本科,杭州,麦瑞克科技,500-999人,"['绩效奖金', '带薪年假', '团建聚餐', '五险一金', '年终奖']"
项目经理  软/硬件开发经验  汽车电子 工科,20-26K,"['3-5年', '本科']","['汽车电子 项目管理', '软/硬件开发', '项目管理']",3-5年,本科,北京,某中型汽车零部件公司,500-999人,"['节日福利', '生日福利', '有无线网', '团建聚餐', '保底工资', '零食下午茶', '年终奖', '节假日加班费', '加班补助', '五险一金', '带薪年假', '工龄奖', '绩效奖金', '住房补贴', '餐补', '包住', '定期体检', '全勤奖', '宿舍有空调', '夜班补助']"
c++开发工程师,12-18K·13薪,"['3-5年', '本科']","['C++', 'C', 'QT', 'OpenGL']",3-5年,本科,广州,泺立能源科技,100-499人,"['餐补', '节日福利', '五险一金', '补充医疗保险', '年终奖', '带薪年假']"
Java,15-30K·15薪,"['经验不限', '本科']","['Java', 'JVM', 'MySQL']",经验不限,本科,武汉,某大型国际计算机软件公司,10000人以上,"['交通补助', '免费班车', '零食下午茶', '团建聚餐', '意外险', '股票期权', '法定节假日三薪', '节日福利', '夜班补助', '带薪年假', '员工旅游', '保底工资', '定期体检', '加班补助', '企业年金', '绩效奖金', '五险一金', '补充医疗保险', '节假日加班费', '年终奖']"
高级JAVA(日本),35-55K·13薪,"['5-10年', '本科']","['C#', 'Java', '不接受居家办公', '分布式经验', 'MySQL', 'PHP', '云计算经验', '架构设计经验', 'Spring', '游戏后端经验', '区块链经验']",5-10年,本科,北京,冠谷服务,0-20人,[]
后端研发工程师-G9607Y,20-35K·15薪,"['1-3年', '本科']","['Java', '编码', 'JSP', 'Unix', '单元测试']",1-3年,本科,上海,bilibili,10000人以上,"['通讯补贴', '定期体检', '五险一金', '员工旅游', '包吃', '交通补助', '餐补', '零食下午茶', '节日福利', '全勤奖', '补充医疗保险', '股票期权', '带薪年假', '年终奖']"
游戏C++服务器开发,11-22K,"['经验不限', '本科']","['C#', 'C++', 'C', '游戏后端经验']",经验不限,本科,深圳,大梦龙途文化传播,500-999人,"['生日福利', '带薪年假', '年终奖', '定期体检', '五险一金', '零食下午茶']"
数字化主管/经理,15-18K·13薪,"['3-5年', '本科']","['数字化', 'CRM', 'MES', 'SRM']",3-5年,本科,上海,亿诺焊接,100-499人,"['带薪年假', '有无线网', '工龄奖', '免费工装', '加班补助', '保底工资', '五险一金', '绩效奖金', '年终奖']"
软件工程师,10-15K·13薪,"['经验不限', '本科']","['C++', 'QT']",经验不限,本科,上海,术理智能,20-99人,"['零食下午茶', '人才公寓', '带薪年假', '定期体检', '股票期权', '节日福利', '人才落户', '五险一金', '年终奖', '住房补贴', '员工旅游']"
图形引擎开发工程师（全局光照）,30-60K·16薪,"['5-10年', '本科']","['图形开发/渲染', 'C++', '计算机图形学', '图形开发经验', '游戏开发经验']",5-10年,本科,杭州,网易,10000人以上,"['包吃', '带薪年假', '定期体检', '年终奖', '全勤奖', '补充医疗保险', '节日福利', '五险一金', '免费班车']"
agent智能体开发工程师,270-400元/天,"['5天/周', '2个月', '本科']","['Python', '其他', '架构设计经验', '机器学习经验']",,本科,杭州,北京探微杜渐科技,0-20人,"['团建聚餐', '绩效奖金', '零食下午茶', '加班补助', '股票期权', '有无线网']"
后端开发工程师（B端）,20-30K·16薪,"['3-5年', '本科']","['Java', 'Golang', 'Spring', 'Docker', 'MySQL', '交付']",3-5年,本科,上海,合合信息,1000-9999人,"['带薪年假', '节日福利', '生日福利', '年终奖', '补充医疗保险', '五险一金', '免费班车', '定期体检', '团建聚餐', '零食下午茶', '包吃']"
PHP全栈开发工程师,9-12K,"['3-5年', '大专']",[],3-5年,大专,成都,远锦世纪,0-20人,"['员工旅游', '定期体检', '节日福利', '住房补贴', '补充医疗保险', '五险一金']"
C++软件工程师,15-25K,"['5-10年', '本科']","['C++', 'QT', '上位机开发经验']",5-10年,本科,上海,上海英曼尼安全装备,20-99人,[]
PHP工程师双休！（可线上面试！！！）,18-22K,"['3-5年', '本科']","['PHP', 'MySQL/Redis/MongoDB', 'PHP开发经验', '服务端开发经验']",3-5年,本科,厦门,无老板,100-499人,"['五险一金', '有无线网', '全勤奖', '保底工资', '节日福利', '带薪年假', '免费工装', '餐补', '零食下午茶', '团建聚餐']"
java实习生,130-180元/天,"['4天/周', '4个月', '本科']","['Java', 'Docker', 'MySQL', 'Redis', 'Spring']",,本科,武汉,文华在线教育,100-499人,"['股票期权', '法定节假日三薪', '绩效奖金', '带薪年假', '底薪加提成', '有无线网', '五险一金', '保底工资']"
